submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours
6.17E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,I cannot afford enough food for my family,Some technical education (e.g polytechnic school),I am unemployed,Miranda,,1,No,Irregularly
5.41E+15,13-03-2021,Male,16 to 25 years old,Rural,Prefer not to answer,Technical school diploma or degree completed,I am a student,Miranda,,1,Every day,There are enough
6.05E+15,29-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Post-graduate education,None of the above,Miranda,,1,No,There are enough
6.41E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Miranda,,1,No,Irregularly
5.61E+15,13-03-2021,Male,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,Irregularly
5.89E+15,01-04-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Miranda,,1,No,Irregularly
4.78E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Miranda,,0,No,There are not enough
6.35E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,1,No,Irregularly
5.28E+15,25-03-2021,Male,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Primary school completed,I am a student,Miranda,,1,No,Irregularly
6.06E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,I am unemployed,Miranda,,1,No,Irregularly
5.21E+15,19-03-2021,Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Miranda,,0,No,There are enough
5.69E+15,04-04-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Lara,,1,No,Irregularly
6.06E+15,13-03-2021,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Primary school completed,"I do housework, fulfilling domestic tasks, looking after children",Zulia,,1,No,Irregularly
5.59E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Zulia,,0,No,Irregularly
5.10E+15,13-03-2021,Male,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,I am retired,Zulia,,0,No,There are enough
5.67E+15,03-04-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am a student,Zulia,,0,No,There are not enough
5.58E+15,29-03-2021,Male,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Technical school diploma or degree completed,I am a student and I work part-time,Zulia,,1,No,Irregularly
6.54E+15,13-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,There are not enough
5.47E+15,13-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Zulia,,1,No,There are not enough
4.92E+15,13-03-2021,Male,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,"I work full-time, either as an employee or self-employed",Zulia,,1,No,Irregularly
6.04E+15,19-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,There are enough
5.45E+15,13-03-2021,Female,36 to 45 years old,Rural,I cannot afford enough food for my family,Prefer not to answer,None of the above,Zulia,,1,No,Irregularly
6.36E+15,14-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Zulia,,0,No,Irregularly
6.55E+15,13-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,Irregularly
5.62E+15,29-03-2021,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Some technical education (e.g polytechnic school),"I work part-time, either as an employee or self-employed",Miranda,,1,No,Irregularly
6.65E+15,01-04-2021,Male,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),"I work part-time, either as an employee or self-employed",Miranda,,1,No,There are not enough
6.06E+15,16-04-2021,Female,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Lara,,1,No,Irregularly
5.31E+15,15-03-2021,Prefer not to answer,26 to 35 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Lara,,1,No,Irregularly
5.27E+15,20-03-2021,Male,26 to 35 years old,Rural,Prefer not to answer,University or college degree completed,"I work part-time, either as an employee or self-employed",Mérida,,1,No,Irregularly
4.91E+15,13-03-2021,Female,16 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student and I work part-time,Anzoátegui,,1,No,Irregularly
4.95E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am unemployed,Anzoátegui,,1,No,There are enough
6.46E+15,24-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",University or college degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,0,No,There are enough
4.67E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Anzoátegui,,0,No,There are enough
5.38E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am a student and I work part-time,Anzoátegui,,0,No,There are enough
5.25E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student and I work part-time,Anzoátegui,,1,No,Irregularly
5.32E+15,02-04-2021,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student and I work part-time,Anzoátegui,,1,No,There are not enough
6.58E+15,13-03-2021,Prefer not to answer,16 to 25 years old,Rural,I cannot afford enough food for my family,Prefer not to answer,I am a student,Anzoátegui,,0,No,There are enough
6.24E+15,23-03-2021,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Zulia,,0,No,Irregularly
5.54E+15,13-03-2021,Female,36 to 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work full-time, either as an employee or self-employed",Zulia,,1,2 days,There are enough
6.15E+15,13-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,Irregularly
5.48E+15,15-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Zulia,,1,No,Irregularly
5.85E+15,13-03-2021,Male,36 to 45 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Zulia,,0,No,There are enough
6.53E+15,22-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,Irregularly
4.69E+15,13-03-2021,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Zulia,,1,No,Irregularly
5.00E+15,13-03-2021,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Zulia,,1,No,Irregularly
4.55E+15,31-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Carabobo,,0,Every day,There are enough
6.60E+15,28-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.83E+15,13-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some university or college,I am a student,Distrito Federal,,1,2 days,There are not enough
5.39E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Distrito Federal,,1,No,Irregularly
4.68E+15,25-03-2021,Male,36 to 45 years old,City center or metropolitan area,Prefer not to answer,Some university or college,None of the above,Distrito Federal,,0,Every day,There are not enough
5.26E+15,14-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Some university or college,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
5.64E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,Every day,Irregularly
5.32E+15,14-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,Every day,There are enough
6.67E+15,16-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
4.58E+15,24-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Some university or college,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,Every day,There are not enough
6.50E+15,16-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Distrito Federal,,1,No,There are enough
5.66E+15,13-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,There are not enough
6.42E+15,13-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Carabobo,,0,No,There are not enough
6.61E+15,24-03-2021,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Lara,,1,No,Irregularly
6.48E+15,01-04-2021,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Lara,,1,No,There are enough
6.13E+15,13-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Lara,,0,No,There are not enough
4.69E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Lara,,1,No,Irregularly
4.88E+15,01-04-2021,Male,36 to 45 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.58E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some university or college,I am a student and I work part-time,Distrito Federal,,1,No,Irregularly
5.50E+15,18-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Barinas,,1,No,Irregularly
4.70E+15,15-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Apure,,0,2 days,Irregularly
4.51E+15,13-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Apure,,0,Every day,There are enough
5.52E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Anzoátegui,,1,No,There are not enough
6.52E+15,15-03-2021,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Anzoátegui,,0,No,Irregularly
5.43E+15,29-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am a student,Barinas,,1,No,Irregularly
4.51E+15,13-03-2021,Male,36 to 45 years old,Rural,I cannot afford enough food for my family,Some secondary school / high school,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,Irregularly
5.30E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,I am a student and I work part-time,Anzoátegui,,1,No,There are enough
6.18E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some university or college,"I work part-time, either as an employee or self-employed",Anzoátegui,,0,No,Irregularly
4.93E+15,30-03-2021,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Anzoátegui,,1,No,There are enough
6.50E+15,13-03-2021,Female,16 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Anzoátegui,,0,No,There are not enough
4.67E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Anzoátegui,,1,No,Irregularly
4.54E+15,26-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Anzoátegui,,1,No,There are enough
5.17E+15,04-04-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some technical education (e.g polytechnic school),I am a student,Anzoátegui,,1,No,Irregularly
5.06E+15,15-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Anzoátegui,,0,No,Irregularly
4.75E+15,13-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,0,No,There are enough
6.70E+15,18-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Anzoátegui,,1,No,There are enough
5.64E+15,22-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Anzoátegui,,1,No,There are enough
6.28E+15,18-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Anzoátegui,,1,No,There are enough
5.12E+15,29-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Anzoátegui,,1,No,There are not enough
6.37E+15,28-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Anzoátegui,,0,No,Irregularly
5.97E+15,18-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student,Anzoátegui,,0,No,Irregularly
6.47E+15,24-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student,Anzoátegui,,1,No,Irregularly
4.58E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,There are enough
5.97E+15,22-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some university or college,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,Irregularly
4.93E+15,14-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Anzoátegui,,1,No,There are enough
5.87E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,Irregularly
5.49E+15,13-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Anzoátegui,,1,2 days,There are not enough
5.04E+15,13-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some university or college,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,Irregularly
4.82E+15,26-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am unemployed,Barinas,,1,No,Irregularly
6.67E+15,16-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,Irregularly
5.44E+15,14-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Barinas,,0,1 day,There are not enough
5.63E+15,13-03-2021,Male,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,3 days,There are not enough
4.53E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,There are enough
5.06E+15,13-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Anzoátegui,,0,No,There are enough
5.04E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some secondary school / high school,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,There are enough
6.38E+15,13-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Anzoátegui,,1,No,Irregularly
5.99E+15,15-04-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some university or college,I am unemployed,Anzoátegui,,1,Every day,Irregularly
5.37E+15,13-03-2021,Female,Under 16,Rural,I cannot afford enough food for my family,Some secondary school / high school,I am a student,Anzoátegui,,1,No,Irregularly
6.07E+15,18-03-2021,Female,16 to 25 years old,Rural,"I can afford food, but nothing else",Some secondary school / high school,I am a student,Anzoátegui,,0,2 days,Irregularly
6.33E+15,18-03-2021,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Anzoátegui,,0,No,There are not enough
4.53E+15,04-04-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Anzoátegui,,1,No,Irregularly
5.02E+15,17-03-2021,Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Anzoátegui,,1,No,There are enough
5.43E+15,12-04-2021,Male,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),"I work part-time, either as an employee or self-employed",Anzoátegui,,0,No,There are not enough
5.03E+15,03-04-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Primary school completed,I am unemployed,Anzoátegui,,1,No,Irregularly
5.95E+15,16-03-2021,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Anzoátegui,,1,No,There are not enough
4.91E+15,16-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Anzoátegui,,1,No,Irregularly
6.16E+15,13-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",Post-graduate education,"I work full-time, either as an employee or self-employed",Anzoátegui,,0,No,There are enough
5.52E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Post-graduate education,"I work part-time, either as an employee or self-employed",Guárico,,1,No,There are not enough
6.26E+15,22-03-2021,Female,36 to 45 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Apure,,1,No,Irregularly
5.59E+15,16-03-2021,Female,16 to 25 years old,City center or metropolitan area,Prefer not to answer,Secondary school/ high school completed,I am a student,Distrito Federal,,1,3 days,There are enough
5.95E+15,14-03-2021,Male,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,0,No,There are enough
5.87E+15,18-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Distrito Federal,,1,2 days,There are enough
6.05E+15,17-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,,0,No,Irregularly
4.97E+15,17-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,0,Every day,There are enough
6.05E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.11E+15,16-03-2021,Female,26 to 35 years old,City center or metropolitan area,Prefer not to answer,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
6.27E+15,16-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Some secondary school / high school,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,3 days,There are not enough
6.68E+15,02-04-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,Every day,There are enough
5.56E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
5.61E+15,14-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Distrito Federal,,1,2 days,Irregularly
5.55E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.65E+15,30-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Technical school diploma or degree completed,I am unemployed,Distrito Federal,,1,No,There are not enough
6.06E+15,31-03-2021,Male,36 to 45 years old,Rural,I cannot afford enough food for my family,Technical school diploma or degree completed,I am unemployed,Apure,,1,No,Irregularly
5.31E+15,14-03-2021,Female,36 to 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,There are not enough
5.90E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,Irregularly
5.56E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Distrito Federal,,0,No,There are enough
4.76E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Apure,,1,3 days,Irregularly
4.67E+15,25-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,Irregularly
5.85E+15,29-03-2021,Male,36 to 45 years old,Rural,I cannot afford enough food for my family,Some university or college,"I work part-time, either as an employee or self-employed",Carabobo,,1,3 days,There are enough
4.90E+15,24-03-2021,Male,26 to 35 years old,Rural,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Post-graduate education,"I work full-time, either as an employee or self-employed",Carabobo,,0,No,There are enough
5.14E+15,17-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Miranda,,1,No,Irregularly
5.53E+15,03-04-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Vargas,,0,No,There are enough
4.73E+15,26-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Post-graduate education,"I work full-time, either as an employee or self-employed",Bolívar,,1,No,Irregularly
5.79E+15,13-03-2021,Male,Over 45 years old,Rural,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,,1,No,Irregularly
5.94E+15,13-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,1,Every day,There are enough
6.07E+15,15-03-2021,Female,36 to 45 years old,City center or metropolitan area,Prefer not to answer,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,1,No,Irregularly
6.47E+15,23-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Trujillo,,1,No,Irregularly
5.83E+15,17-03-2021,Male,16 to 25 years old,Rural,Prefer not to answer,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Carabobo,,0,No,Irregularly
5.18E+15,20-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Carabobo,,0,No,There are enough
4.98E+15,15-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Carabobo,,1,No,There are not enough
4.61E+15,15-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,Prefer not to answer,University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Carabobo,,1,No,Irregularly
6.60E+15,05-04-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Carabobo,,1,No,Irregularly
4.73E+15,02-04-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Primary school completed,I am a student,Carabobo,,1,No,Irregularly
4.55E+15,13-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,I am a student,Carabobo,,1,Every day,There are enough
6.08E+15,13-03-2021,Prefer not to answer,16 to 25 years old,Rural,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",University or college degree completed,I am a student,Carabobo,,1,No,Irregularly
4.88E+15,13-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Some secondary school / high school,I am unemployed,Distrito Federal,,1,3 days,Irregularly
5.56E+15,17-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am retired,Carabobo,,0,No,There are enough
